protein_id,log2FC_2019,padj_2019,neg_log10padj_2019,DAP_2019,log2FC_2022,padj_2022,neg_log10padj_2022,DAP_2022,mean_log2FC,fisher_combined_padj,neg_log10padj,DAP
Td00001aa021702_T003,-0.352915787371046,0.00678527361711815,2.16843263466473,NS,-0.18757466454341,0.0041910590096682,2.37767622430267,NS,-0.270245225957228,0.0012858292373262973,2.89081670342667,NS
Td00001aa021716_T001,0.0356239097307212,0.765204901830994,0.116222256586021,NS,-1.1012878284984,4.6126386872012e-4,3.33605056279912,Down,-0.5328319593838394,0.009432952440399135,2.025352355206596,NS
Td00001aa021741_T001,1.30742852519225,0.0814508572910007,1.08910434027147,NS,0.079502827438984,0.140413249782812,0.852591909043415,NS,0.693465676315617,0.12140241847307337,0.9157726615387806,NS
Td00001aa021785_T001,0.26663664251399,0.0897927890270444,1.04675853873925,NS,0.121222899221528,0.482777712862268,0.316252787050968,NS,0.193929770867759,0.2863754812590647,0.5430641679623696,NS
Td00001aa021797_T001,-0.710755714843358,0.792355929358136,0.101079687814001,NS,-0.314564816411973,0.984024249923943,0.00699419884672214,NS,-0.5126602656276655,0.9990517914532815,4.11997100002581e-4,NS
Td00001aa021840_T001,0.0867837661420666,0.572322477462404,0.242359197222499,NS,-0.312380549749836,2.29464202986218e-7,6.6392850559138,NS,-0.11279839180388468,1.6116176646918718e-5,4.79273798102295,NS
Td00001aa021847_T002,0.0538064436957938,0.931492854103218,0.0308204724214632,NS,0.104672276461422,0.97597219070849,0.0105625569172359,NS,0.0792393600786079,0.9999558984015862,1.9153503187400002e-5,NS
Td00001aa021849_T001,0.147957881387101,0.73288861437602,0.134962025137404,NS,-0.349186826234564,3.6011221220118e-4,3.44356215049305,NS,-0.10061447242373149,0.007433695610279494,2.128795226060099,NS
Td00001aa021863_T001,-0.103146927103293,0.306385114656546,0.513732338189429,NS,0.0556142959850058,0.996607402722355,0.00147589124731249,NS,-0.0237663155591436,0.7790600088004492,0.10842908855702052,NS
Td00001aa021881_T001,0.22404027421793,0.181272525230761,0.74166801523643,NS,-8.1169135851008e-4,0.810103710283995,0.0914593787499327,NS,0.11161429142970995,0.5584027988245339,0.25305241361017344,NS
Td00001aa021919_T001,0.297484915710575,0.271915015255148,0.565566809836536,NS,0.954292190441547,0.0556344788066149,1.2546559761422,NS,0.625888553076061,0.14853725079916563,0.8281646184829039,NS
Td00001aa021922_T001,0.225274929869569,0.135445557072466,0.868235236260624,NS,0.066167702498293,0.998717074915741,5.57524992706e-4,NS,0.145721316183931,0.5367066854509421,0.270262994919095,NS
Td00001aa021925_T001,0.141432790929296,0.493381830149985,0.306816848382764,NS,-0.357574438118803,0.00933004513841798,2.03011625514756,NS,-0.1080708235947535,0.06361598604874821,1.196433736861385,NS
Td00001aa021931_T004,-0.751465163861321,0.00589344142914716,2.22963102826462,NS,-0.390423766468128,0.0134967789876222,1.86976986371305,NS,-0.5709444651647245,0.002948580080020534,2.5303870727907856,NS
Td00001aa021975_T001,-0.401634794676355,0.229121881270146,0.639933433459663,NS,-0.133962580325223,0.831766166528164,0.0799987492619762,NS,-0.267798687500789,0.6369889680811706,0.1958680890821698,NS
Td00001aa021997_T002,-0.913216233857933,0.00787212830602946,2.10390783605201,NS,-0.301445556112732,0.00606499766445589,2.21716936203799,NS,-0.6073308949853325,0.0019667835301556344,2.706243437148438,NS
Td00001aa022018_T001,-0.926865295369785,4.7993920492952e-4,3.31881377228239,NS,-0.575272221803425,2.97137457308759e-11,10.5270425973478,NS,-0.7510687585866049,1.7079794540556602e-11,10.767517357911604,NS
Td00001aa022044_T002,0.255802836602718,0.148954567116459,0.826946176281981,NS,-0.162246607719745,0.119881418646869,0.921248126363185,NS,0.04677811444148651,0.16493017736401894,0.7826998739879538,NS
Td00001aa022072_T002,0.22650852980868,0.619657234208979,0.207848475752771,NS,0.119474526650297,0.660567627808631,0.180082713430809,NS,0.1729915282294885,0.8677166889084154,0.061622049625370795,NS
Td00001aa022073_T001,-0.41888982477445,0.0433593277451219,1.36291745983792,NS,-0.73873937364738,3.42635407634888e-7,6.46516775945025,NS,-0.578814599210915,2.613344923481142e-6,5.582803265941062,NS
Td00001aa022085_T001,0.10701824988212,0.92091717898724,0.0357794255318904,NS,-0.320639702672546,0.216672965683706,0.664195272283376,NS,-0.106810726395213,0.6464542769885049,0.18946218687610492,NS
Td00001aa022088_T001,-0.648371670897218,0.00995038490659379,2.00216011929683,NS,-0.0161083385412194,0.45434244879155,0.342616685561091,NS,-0.3322400047192187,0.06282397526107233,1.201874586572891,NS
Td00001aa022092_T001,0.120351940365222,0.80518317112504,0.0941053107380645,NS,-0.355929646805082,2.90732456356077e-5,4.53650648240389,NS,-0.11778885321992999,0.0011086336728646363,2.955211934586052,NS
Td00001aa022125_T001,-0.15360697914764,0.770054031340098,0.113478801204663,NS,-0.212013719213888,0.0919597751453426,1.0364020993129,NS,-0.182810349180764,0.37795052094690507,0.4225650517136743,NS
Td00001aa022134_T001,-0.354759487354735,0.334806141698968,0.475206583888137,NS,-0.661097859176034,2.4466463088253e-4,3.61142880842822,NS,-0.5079286732653845,0.003016726173357655,2.520464108716898,NS
Td00001aa022161_T003,-0.312939311660108,0.130147567983577,0.88556394296912,NS,-0.281970508224207,0.231620999419063,0.635222068785748,NS,-0.2974549099421575,0.23039101050318408,0.6375344704095329,NS
Td00001aa022192_T002,0.0827025893302493,0.640468375896994,0.193502309342398,NS,0.234011580520846,0.316196376514902,0.500043111217852,NS,0.15835708492554765,0.6506978721319222,0.18662061346420086,NS
Td00001aa022229_T001,-0.0276749584428483,0.654668043840852,0.183978857676287,NS,-0.0692790473854311,0.30477013414899,0.516027593795015,NS,-0.0484770029141397,0.6464542769885049,0.18946218687610492,NS
Td00001aa022232_T001,0.505890929729957,0.070678123601852,1.15071498887918,NS,-0.0321881751297384,0.674289863951253,0.171153368668496,NS,0.2368513773001093,0.3024041956402449,0.5194121876061291,NS
Td00001aa022257_T003,-0.746615764199925,0.163370909796182,0.786825272404111,NS,-0.184775623892595,0.926800286504647,0.0330138406272413,NS,-0.46569569404626,0.5675627159470212,0.24598614173871264,NS
Td00001aa022259_T001,-0.261880711217424,0.277794041193523,0.556277074309443,NS,-0.150944399760863,0.15660372482527,0.805197912445237,NS,-0.2064125554891435,0.28695414104890055,0.5421875035474112,NS
Td00001aa022269_T002,-0.399730246490995,0.225155143462664,0.64751812752877,NS,0.230163893749843,0.207068728721559,0.683885482801895,NS,-0.08478317637057599,0.29920103129962844,0.5240369138591607,NS
Td00001aa022275_T002,-0.026205070347394,0.991882478162931,0.00353978158460251,NS,-0.196799201129692,0.056957187681717,1.24445146256756,NS,-0.11150213573854299,0.33296729728941254,0.4775984190588155,NS
Td00001aa022285_T001,-0.29689930039584,0.0182133561101261,1.73961002093697,NS,-0.287939629765845,0.088145988567202,1.05479744720776,NS,-0.2924194650808425,0.029374120492597473,1.5320351279859086,NS
Td00001aa022293_T001,-0.305788392232109,0.322829724916562,0.491026483947188,NS,-0.737775941824229,0.00489147213941004,2.310560415763,NS,-0.521782167028169,0.02901023386247716,1.537448770171001,NS
Td00001aa022297_T002,-0.120294233717712,0.18587085957003,0.730788692637663,NS,-0.278792005803892,0.0574554468269274,1.24066879352491,NS,-0.19954311976080202,0.11562144804278822,0.936961595823605,NS
Td00001aa022305_T002,-0.195946441032647,0.358100405313216,0.445995187434917,NS,-0.232607532907904,0.00150894661500693,2.82132612484868,NS,-0.2142769869702755,0.012859291104549597,1.8907829721480467,NS
Td00001aa022314_T001,-0.256700472111743,0.291374483107414,0.535548483900529,NS,-0.170579702609892,0.556830867865223,0.254276697657634,NS,-0.21364008736081752,0.5875908944808792,0.23092494281259948,NS
