orthogroup,log2FC,padj,species,DAP,rank
OG0002544,-0.6226024166369569,0.539499390566396,Ag,NS,1938
OG0002556,-0.6989977439671857,0.689497447322378,Ag,NS,1982
OG0002558,-0.5269924320838263,1,Ag,NS,1834
OG0002559,0.36848900064510354,1,Ag,NS,314
OG0002575,-0.02326977932284719,1,Ag,NS,879
OG0002591,-0.21445868877362123,1,Ag,NS,1283
OG0002597,-0.00868224309980088,1,Ag,NS,846
OG0002600,-0.5505583202994493,0.733355831960551,Ag,NS,1865
OG0002605,-0.1328942704973453,1,Ag,NS,1104
OG0002615,-0.21256172419441188,0.0264552610002779,Ag,NS,1277
OG0002621,-0.24468509595490195,1,Ag,NS,1335
OG0002630,-0.4363537305159361,0.397752610632873,Ag,NS,1732
OG0002650,-0.19513197307167518,0.764017957451203,Ag,NS,1249
OG0002665,-1.3219280948873622,0.158093185028535,Ag,NS,2203
OG0002674,-0.1648843847417823,1,Ag,NS,1183
OG0002678,-0.19099722506091363,0.631196775264438,Ag,NS,1239
OG0002679,0.1401242239090707,1,Ag,NS,585
OG0002722,0.09491164702546698,1,Ag,NS,666
OG0002725,0.3651325934525299,0.373700238267411,Ag,NS,319
OG0002726,-0.4092782299901589,0.371716023121739,Ag,NS,1679
OG0002730,-0.27578631324264175,1,Ag,NS,1396
OG0002737,-0.03948828988097554,1,Ag,NS,912
OG0002760,-1.524351116190783,0.457715539237224,Ag,NS,2218
OG0002761,-0.14720210718122878,0.671557332484039,Ag,NS,1132
OG0002770,-0.15399355028090728,0.943876232415294,Ag,NS,1153
OG0002771,-0.6192705514964515,0.039524731036781,Ag,NS,1931
OG0002772,-0.033059944475248286,0.38979609318522,Ag,NS,904
OG0002773,-0.2915920165164037,1,Ag,NS,1430
OG0002776,-0.22095044716254147,1,Ag,NS,1289
OG0002784,-0.3959286763311392,0.837360608705008,Ag,NS,1651
OG0002789,-1.4461480318188742,1,Ag,NS,2214
OG0002791,-0.4422223286050742,0.651585535919187,Ag,NS,1743
OG0002818,-0.3046959942655701,1,Ag,NS,1464
OG0002834,1.0962618530584034,0.372971739119668,Ag,NS,91
OG0002854,-0.03948828988097554,1,Ag,NS,912
OG0002858,-0.17299399036102314,0.387273035287788,Ag,NS,1206
OG0002866,-0.15521264992094003,1,Ag,NS,1156
OG0002875,0.5280822655418373,0.637373373951232,Ag,NS,231
OG0002889,-0.6192705514964515,0.0651428434102598,Ag,NS,1931
OG0002897,0.21235867318914992,1,Ag,NS,471
OG0002921,0.2188375910070381,0.721609381503713,Ag,NS,463
OG0002922,-0.4285658841234909,0.387273035287788,Ag,NS,1717
OG0002923,-0.13580984922000616,0.426434584184797,Ag,NS,1105
OG0002924,-0.3022261804448139,0.274055010662044,Ag,NS,1456
OG0002925,2.453649266043291,0.00930750702063028,Ag,UP,5
OG0002945,-0.2276920250415967,1,Ag,NS,1298
OG0002946,0.2630344058337938,0.961847927774219,Ag,NS,412
OG0002952,-0.4540316308947075,0.217150386157531,Ag,NS,1762
OG0002997,0.3103401206121505,0.835550991670721,Ag,NS,359
OG0003023,0.2351143203763572,1,Ag,NS,436
OG0003031,-1.3327890875191293,0.0859609839706983,Ag,NS,2206
OG0003039,0.12084810594330969,1,Ag,NS,621
OG0003045,0.06350294230615795,1,Ag,NS,720
OG0003047,0.33113192221720217,0.372216567010805,Ag,NS,346
OG0003082,-0.45600928033515,1,Ag,NS,1763
OG0003102,-0.2149929886324622,1,Ag,NS,1284
OG0003106,-1.0203404482841756,0.378424030784958,Ag,NS,2139
