protein_id,log2FC_2022,padj_2022,DAP_2022,log2FC_2019,padj_2019,DAP_2019
Td00001aa024464_T006,-0.05967943618670604,0.4401037949385013,NS,-0.207561069935362,0.0933656595963224,NS
Td00001aa024475_T001,-0.19841395228783068,0.07773255956679899,NS,0.0257375614136083,0.782620366149263,NS
Td00001aa024497_T001,0.33102777463830535,0.013783273702665867,NS,0.209141397838592,0.234273640610886,NS
Td00001aa024515_T001,-0.7045117888749038,1.7862169407366085e-5,NS,-0.150400988848548,0.324160132882952,NS
Td00001aa024551_T001,-0.532510449289344,0.039238058840592165,NS,-0.865121945656888,0.025554256641419,NS
Td00001aa024595_T001,-0.4776059157051934,0.08647894249393592,NS,-0.0174170530774094,0.882251237349991,NS
Td00001aa024618_T003,0.6557407168174791,0.371113933300893,NS,-0.0816137655536521,0.647255249124372,NS
Td00001aa024647_T002,0.3699957874984264,0.0017870074241209688,NS,0.390667685559667,0.311990121306198,NS
Td00001aa024655_T001,-0.110570273910493,0.5068541637710111,NS,0.0172092900322231,0.715665185228993,NS
Td00001aa024666_T001,-0.263600150814249,0.030092391532474873,NS,-0.662003536484984,0.00677164230814281,NS
Td00001aa024674_T003,0.7889678358445394,5.6625748327016436e-5,NS,1.23817541857738,0.00332308050816303,Up
Td00001aa024701_T003,0.11132635471659365,0.4116564453377574,NS,0.563646269484064,0.0330904335433568,NS
Td00001aa024729_T001,0.25884420928134183,0.02937560723623744,NS,0.435095151620097,0.0803613588062412,NS
Td00001aa024734_T004,1.3040347050882162,5.038389401576926e-7,Up,0.753604536279995,0.0429687936831713,NS
Td00001aa024742_T001,-0.1274102030921248,0.05443224620777899,NS,0.248534836138679,0.111889470932674,NS
Td00001aa024753_T001,-0.640575296302279,1.4459302900877785e-4,NS,-0.338250400189295,0.105674390667676,NS
Td00001aa024773_T001,0.2609941726004371,0.08647894249393592,NS,0.543000877402426,0.0155878820463909,NS
Td00001aa024779_T002,-0.036845475765164594,0.8085840052305258,NS,0.171206827418142,0.630711645036161,NS
Td00001aa024781_T002,-0.07468168803165966,0.4718056687645382,NS,-0.241270431542137,0.420376531078831,NS
Td00001aa024831_T002,-0.09061147434943867,0.368999867773091,NS,-0.222632890549587,0.321343335560564,NS
Td00001aa024836_T002,-0.21674009753567852,0.0013061281455615807,NS,0.249748715083569,0.40511106040051,NS
Td00001aa024849_T003,0.21693018976370676,0.005489984742128445,NS,0.415758666522498,0.7435303727649,NS
Td00001aa024852_T001,0.20419652918011116,0.09793185804045026,NS,-0.156820109742826,0.542837427976922,NS
Td00001aa024862_T001,-0.12220626977157083,0.020575761439175617,NS,0.00432160595009347,0.754172901068561,NS
Td00001aa024864_T002,-0.3190920930678391,0.00190682134557548,NS,-0.592919224549499,0.298266097232322,NS
Td00001aa024866_T004,-0.7885886770182243,5.232213149176628e-4,NS,-0.340075441597622,0.148414480899991,NS
Td00001aa024867_T001,-0.707457887664842,6.309343980961999e-4,NS,-0.717856771218502,0.0974661687778983,NS
Td00001aa024870_T002,0.685576969851037,1.930502023072451e-5,NS,0.698662999885884,0.00219793710679456,NS
Td00001aa024871_T001,-1.153706198530095,1.2794541486483717e-5,Down,-1.05289494843213,0.0357068744514453,Down
Td00001aa024876_T001,-0.09684681901770016,0.15527059358066553,NS,-0.110915901401851,0.926569429292289,NS
Td00001aa024896_T001,0.8090440796283005,0.004042455836089968,NS,0.539034702970754,0.38752615232462,NS
Td00001aa024935_T004,-0.8801405557985473,5.889870260625103e-6,NS,-0.905088352974533,0.0196748738923045,NS
Td00001aa024936_T001,-1.574144047992194,0.006502388466513471,Down,-0.606034724339757,0.36584728107886,NS
Td00001aa024937_T005,-1.2779321332693991,0.005428075077861629,Down,-0.446148031818874,0.424768028143306,NS
Td00001aa024939_T002,0.060566013494405595,0.11224982774146815,NS,0.155749232677945,0.477597511667863,NS
Td00001aa024952_T002,-1.5320587066863205,2.3974962208110126e-6,Down,-3.01158797427521,0.00168669726688667,Down
